path,GEOID,State,STATEFIP,PUMA,Name,url,Overeducation,Ind,Nativity,,
29,102101,Alabama,1,2101,Lee County (West)--Auburn & Opelika Cities PUMA,https://www.google.com/maps/d/edit?mid=16Fu8SUHUw3CkQyxcqbjnWm5iitQKfac&ll=sharing,0.008343089,0,0,,
30,102201,Alabama,1,2201,Lee (East) & Russell Counties--Phenix City & Smiths Station Cities PUMA,https://www.google.com/maps/d/edit?mid=1kifhBy01kwmvdesBnqY7sdEmbsYDRUA&ll=sharing,0.010303216,0,0,,
31,102300,Alabama,1,2300,"Houston, Geneva & Henry Counties--Dothan City PUMA",https://www.google.com/maps/d/edit?mid=1pXn_1EfvuCLeFSJ0eQdno4fw5G095jY&ll=sharing,0.012577294,0,0,,
32,102400,Alabama,1,2400,Coffee & Dale Counties PUMA,https://www.google.com/maps/d/edit?mid=1o8MFk5BdVqxLKKsJcDI_0hqc9EYQ7_A&ll=sharing,0.012450869,0,0,,
33,102500,Alabama,1,2500,"Covington, Pike, Barbour, Butler & Crenshaw Counties PUMA",https://www.google.com/maps/d/edit?mid=16HTd6M3IUcRLX8KpgaEch8f1glgeY94&ll=sharing,0.010352336,0,0,,
34,102600,Alabama,1,2600,Southwest Alabama PUMA,https://www.google.com/maps/d/edit?mid=1gMsNyYZBlUQYrE4L10g5wSrw8kANKcM&ll=sharing,0.008517282,0,0,,
35,102701,Alabama,1,2701,"Baldwin County (North)--Daphne, Fairhope & Spanish Fort Cities PUMA",https://www.google.com/maps/d/edit?mid=1yI1Hm0OW5fEzl-xdqAy2i5t9AAfV8zc&ll=sharing,0.010687284,0,0,,
36,102702,Alabama,1,2702,"Baldwin County (South)--Foley, Gulf Shores & Robertsdale Cities PUMA",https://www.google.com/maps/d/edit?mid=1VtiC3a3rs8uV5Bfvps9L9uTKMACkv9k&ll=sharing,0.010608382,0,0,,
37,102801,Alabama,1,2801,Mobile County (Outer)--Prichard & Saraland Cities PUMA,https://www.google.com/maps/d/edit?mid=1_ltUUbq6de0FRmzxnDm-epGufw4O0pM&ll=sharing,0.010028727,0,0,,
38,102802,Alabama,1,2802,Mobile City (West) & Tillmans Corner CDP PUMA,https://www.google.com/maps/d/edit?mid=1tAoGdDbQiSZbAKX9Su892m-JWFycizM&ll=sharing,0.009107293,0,0,,
39,102803,Alabama,1,2803,Mobile City (East) PUMA,https://www.google.com/maps/d/edit?mid=1Ai_31bFYGP8N017mDzR8_rEJJwOuwG0&ll=sharing,0.008546423,0,0,,
40,200101,Alaska,2,101,Anchorage Municipality (North) PUMA,https://www.google.com/maps/d/edit?mid=1G99J6xM1EYSNzjwet9FsiZ_gBpJ0APk&ll=sharing,0.020959531,0,0,,
41,200102,Alaska,2,102,Anchorage Municipality (South) PUMA,https://www.google.com/maps/d/edit?mid=1tac1lbm9nMJ5m92gY1PQhUBj51I-VBs&ll=sharing,0.019879934,0,0,,
42,200200,Alaska,2,200,Matanuska-Susitna & Kenai Peninsula Boroughs PUMA,https://www.google.com/maps/d/edit?mid=1GGpzeiXalIE5orUREmHpP_tdqnFHOKU&ll=sharing,0.019749330,0,0,,
43,200300,Alaska,2,300,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska PUMA",https://www.google.com/maps/d/edit?mid=1sP-2dVlzdm10R7gkQlL2_LYBYjT85b0&ll=sharing,0.020944070,0,0,,
44,200400,Alaska,2,400,Subsistence Alaska PUMA,https://www.google.com/maps/d/edit?mid=1vfnliEr4owMJpOVuvjo1FoqPL2eul_U&ll=sharing,0.018535317,0,0,,
45,400101,Arizona,4,101,Maricopa County--Mesa City (East) PUMA,https://www.google.com/maps/d/edit?mid=170wBgxSa5gdtb0g2OJjGNpt5rWjVOBA&ll=sharing,0.040725910,0,0,,
46,400102,Arizona,4,102,Maricopa County--Mesa City (North Central) PUMA,https://www.google.com/maps/d/edit?mid=1UjEubZ2A2Rip8cjElvszK49gZVxU56M&ll=sharing,0.039757092,0,0,,
47,400103,Arizona,4,103,Maricopa County--Mesa City (West) PUMA,https://www.google.com/maps/d/edit?mid=1q4pTfvIC4B1gsahzrBaPIDVL56CokT4&ll=sharing,0.040384071,0,0,,
48,400104,Arizona,4,104,Maricopa County--Mesa City (South Central) PUMA,https://www.google.com/maps/d/edit?mid=161K20TfR2QOEZMet-E1iuI3OUCYQCxQ&ll=sharing,0.041237837,0,0,,
49,400105,Arizona,4,105,Maricopa County--Gilbert Town (North) PUMA,https://www.google.com/maps/d/edit?mid=1y1W8qt_nfXE_ADiYIMtJb7fvW7CEMic&ll=sharing,0.042533479,0,0,,
50,400106,Arizona,4,106,Maricopa County--Chandler City (Northeast) PUMA,https://www.google.com/maps/d/edit?mid=1hYLGODvvo00GmDrvV6pl4zCo0ojaaGc&ll=sharing,0.038757993,0,0,,
51,400107,Arizona,4,107,Maricopa County--Chandler City (South) PUMA,https://www.google.com/maps/d/edit?mid=1G-38sM98zIW5WOr5n69zMSFN_8dI3Jc&ll=sharing,0.038547819,0,0,,
52,400108,Arizona,4,108,Maricopa County--Tempe (South) & Chandler (Northwest) Cities PUMA,https://www.google.com/maps/d/edit?mid=1kUcXTJ8dXPzCI5BOCQ2xda8iyjy_umY&ll=sharing,0.040240481,0,0,,
53,400109,Arizona,4,109,Maricopa County--Tempe City (North) PUMA,https://www.google.com/maps/d/edit?mid=1rfFdxMdkAMEGEW3G4yKQts_tdA6N-4M&ll=sharing,0.041459407,0,0,,
54,400110,Arizona,4,110,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town PUMA,https://www.google.com/maps/d/edit?mid=1FdNRzzVhkYVRaXxXiwTGQGslRpXyeRM&ll=sharing,0.039131748,0,0,,
55,400111,Arizona,4,111,Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town PUMA,https://www.google.com/maps/d/edit?mid=1KBhhxHWso0n3RDxhMOwkB8Axy81Uwog&ll=sharing,0.041196199,0,0,,
56,400112,Arizona,4,112,"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek PUMA",https://www.google.com/maps/d/edit?mid=1Jf6GR8Rw4MoPkSzl-I4oIyPk7EwyA_g&ll=sharing,0.039413754,0,0,,
57,400113,Arizona,4,113,Phoenix City (Northeast) PUMA,https://www.google.com/maps/d/edit?mid=1VfYlb3ub2sBiywJQ-FTwuC_VeazV8S4&ll=sharing,0.038544115,0,0,,
58,400114,Arizona,4,114,Phoenix City (Northeast Central) PUMA,https://www.google.com/maps/d/edit?mid=1bRGUhxKU3BlwCn0mIR9GXJqRkZYyEOs&ll=sharing,0.041119355,0,0,,
59,400115,Arizona,4,115,Phoenix City (Northwest Central) PUMA,https://www.google.com/maps/d/edit?mid=1udQPAiRYD8WieIER1617C22iIea4JKw&ll=sharing,0.039673247,0,0,,
60,400116,Arizona,4,116,Phoenix City (Uptown) PUMA,https://www.google.com/maps/d/edit?mid=1ACXCfHs3BFPxJXoDVDErl-t6qFJv8EY&ll=sharing,0.040734202,0,0,,
61,400117,Arizona,4,117,Phoenix City (East) PUMA,https://www.google.com/maps/d/edit?mid=1sWJRNoed_4UM229voVLp37mAthYZZ6E&ll=sharing,0.039809134,0,0,,
62,400118,Arizona,4,118,Phoenix City--Downtown & Sky Harbor International Airport PUMA,https://www.google.com/maps/d/edit?mid=1NhcCt8_6B-DqCd8_4La0djl55fXtkEI&ll=sharing,0.041832035,0,0,,
63,400119,Arizona,4,119,Phoenix City (South) PUMA,https://www.google.com/maps/d/edit?mid=1WkCyk5iDtrpqeeBj5ZAwoVJORGAX1R4&ll=sharing,0.039212373,0,0,,
64,400120,Arizona,4,120,Phoenix City--Ahwatukee & South Mountain PUMA,https://www.google.com/maps/d/edit?mid=1K8VIH44Mt3d3PIZhNda_y-_SkImEHdQ&ll=sharing,0.040450650,0,0,,
65,400121,Arizona,4,121,Phoenix (Southwest) & Tolleson Cities PUMA,https://www.google.com/maps/d/edit?mid=1hx_C7wrC2jViDBNBUDrwqpr58oUg6_Q&ll=sharing,0.037979389,0,0,,
66,400122,Arizona,4,122,Phoenix City--Maryvale (East) PUMA,https://www.google.com/maps/d/edit?mid=1ucn0Z-BTfadQPzxDSzmHL8svTRJ0Y-M&ll=sharing,0.039067166,0,0,,
67,400123,Arizona,4,123,Phoenix City--Maryvale (West) PUMA,https://www.google.com/maps/d/edit?mid=1SJzKpfjjPqB_4YNEVdKIW4RozyYtnuI&ll=sharing,0.041852828,0,0,,
68,400124,Arizona,4,124,Maricopa County--Glendale City (South) PUMA,https://www.google.com/maps/d/edit?mid=16iAJiHZHroUwsewPuAD4-8LS87RJdlM&ll=sharing,0.039917421,0,0,,
69,400125,Arizona,4,125,Phoenix City (West) PUMA,https://www.google.com/maps/d/edit?mid=17h2Q5ZhPHZ0OnXLcWSub8Bt7eg3Rhj8&ll=sharing,0.038781510,0,0,,
70,400126,Arizona,4,126,Maricopa County--Glendale City (North) PUMA,https://www.google.com/maps/d/edit?mid=1VyIdYJVwDXPIIexiDf-OaFNHYpcipUM&ll=sharing,0.039410291,0,0,,
71,400127,Arizona,4,127,Maricopa County--Peoria City (South & Central) PUMA,https://www.google.com/maps/d/edit?mid=18zpIL5SFDUwztNZvv1X1VPXPPkOi7Wo&ll=sharing,0.041954647,0,0,,
72,400128,Arizona,4,128,Phoenix City (North) PUMA,https://www.google.com/maps/d/edit?mid=11vp62W6eCtg-OFA2F9UgT6eFq5yC8E8&ll=sharing,0.039327992,0,0,,
73,400129,Arizona,4,129,Phoenix (Far North) & Peoria (Northwest) Cities PUMA,https://www.google.com/maps/d/edit?mid=1AGd7_kjv272rDS0-S8odxZVqUHAiFKE&ll=sharing,0.038969828,0,0,,
74,400130,Arizona,4,130,Maricopa County--El Mirage & Sun City PUMA,https://www.google.com/maps/d/edit?mid=1LMkafN4eNgg_64tk63_8AI_vdkOFTAA&ll=sharing,0.039651626,0,0,,
75,400131,Arizona,4,131,Maricopa County--Surprise City (Central) PUMA,https://www.google.com/maps/d/edit?mid=1cOQdCeeYfuLLDkXyLFeMhzJO6zO-2yA&ll=sharing,0.040616348,0,0,,
76,400132,Arizona,4,132,"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities PUMA",https://www.google.com/maps/d/edit?mid=1S15XKhfZcxlzb541c9siMDRPxSvuUzw&ll=sharing,0.041786628,0,0,,
77,400133,Arizona,4,133,Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities PUMA,https://www.google.com/maps/d/edit?mid=1AyyM_ZB2UrUzv5zFfX9FY8TGLx7w_9s&ll=sharing,0.042226464,0,0,,
78,400134,Arizona,4,134,Maricopa County (West) & Gila River Indian Community (Northwest) PUMA,https://www.google.com/maps/d/edit?mid=1RyVrKXj-1ZZg3_2wzoAshkxYfgN3mjY&ll=sharing,0.042834351,0,0,,
79,400135,Arizona,4,135,Maricopa County--Gilbert (South) & Queen Creek Towns PUMA,https://www.google.com/maps/d/edit?mid=1sijbxeqXrzZe4cs5O38Jio5jOBZumN4&ll=sharing,0.043529921,0,0,,
80,400400,Arizona,4,400,"Gila, Graham, Greenlee Counties PUMA",https://www.google.com/maps/d/edit?mid=1m3zwb3nqX1_Ipru01fJYkhJg12WNdpg&ll=sharing,0.038555144,0,0,,
81,400500,Arizona,4,500,Coconino County PUMA,https://www.google.com/maps/d/edit?mid=1JNmEEwJlg9_x6wpIll2MUGqqbwrjB8M&ll=sharing,0.042541409,0,0,,
82,400601,Arizona,4,601,Mohave County North--City of Kingman & Bullhead City PUMA,https://www.google.com/maps/d/edit?mid=1BzjyscZBwsMtXoB5Y3O1rrWxWMGo3EM&ll=sharing,0.041760384,0,0,,
83,400602,Arizona,4,602,Mohave County South--Lake Havasu City PUMA,https://www.google.com/maps/d/edit?mid=1jk57XsGYN9Q1LtYjkVWyxs_bS0HGEog&ll=sharing,0.042303432,0,0,,
84,400701,Arizona,4,701,"La Paz & Yuma Counties--Parker, Quartzsite, Wellton Somerton & San Luis Cities PUMA",https://www.google.com/maps/d/edit?mid=1hvJj2SavqUjvdDSI3rAtho2_F6JuMcc&ll=sharing,0.038473126,0,0,,
85,400803,Arizona,4,803,Pinal County (North)--Apache Junction City PUMA,https://www.google.com/maps/d/edit?mid=1qGbKnq60mlQ65Hl_X-QruOwJG5j6v-U&ll=sharing,0.040721876,0,0,,
86,400805,Arizona,4,805,"Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities PUMA",https://www.google.com/maps/d/edit?mid=1EBiGdwWQpftjkh3-jSclHBOnyvCntMA&ll=sharing,0.041285577,0,0,,
87,400807,Arizona,4,807,"Pinal County (West)--Maricopa, Casa Grande & Eloy (Southeast) Cities PUMA",https://www.google.com/maps/d/edit?mid=1UtReszCFI7fqhG_6UVJv7K7Gn3czzqc&ll=sharing,0.040506176,0,0,,
88,400900,Arizona,4,900,Cochise & Santa Cruz Counties--Sierra Vista City PUMA,https://www.google.com/maps/d/edit?mid=1cYZhca8CV1bgaCo5a1bsMgtRo7dca6Q&ll=sharing,0.038511195,0,0,,
89,401000,Arizona,4,1000,Navajo & Apache Counties PUMA,https://www.google.com/maps/d/edit?mid=1EPAQGZLhfRbXeF3cEMz7A7bwQr0EKR0&ll=sharing,0.039547741,0,0,,
90,401101,Arizona,4,1101,Yuma County--Yuma City PUMA,https://www.google.com/maps/d/edit?mid=1LrikCqyLy_hBexopBL3RYgevII7jxrw&ll=sharing,0.038678004,0,0,,
91,401901,Arizona,4,1901,Pima County (West) PUMA,https://www.google.com/maps/d/edit?mid=1NW7Uegfl7heAsu0LbJt-VNYwG-pm2PI&ll=sharing,0.043305077,0,0,,
92,401902,Arizona,4,1902,Tucson City (West) & Marana Town PUMA,https://www.google.com/maps/d/edit?mid=1k6mXfF0WZdUDoPUk20Is93deC104qLs&ll=sharing,0.038227691,0,0,,
93,401903,Arizona,4,1903,Pima County (North Central)--Oro Valley Town PUMA,https://www.google.com/maps/d/edit?mid=1L_eR1XvcvoITDcyVJJD6LP3ofuQ7nRo&ll=sharing,0.041286013,0,0,,
94,401904,Arizona,4,1904,Pima County (Northeast) PUMA,https://www.google.com/maps/d/edit?mid=18jpcD67wPX-3ZDtpbjzYcsyIYbzzudM&ll=sharing,0.041193755,0,0,,
95,401905,Arizona,4,1905,Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town PUMA,https://www.google.com/maps/d/edit?mid=1Ryi9_nSMtiKEDjOkEh6avztxcxV4mr0&ll=sharing,0.038387571,0,0,,
96,401906,Arizona,4,1906,Tucson City (Northeast) PUMA,https://www.google.com/maps/d/edit?mid=1JKoOAKmlVWk7m1blev7V9lkVfWz54pM&ll=sharing,0.041841826,0,0,,
97,401907,Arizona,4,1907,Tucson City (Northwest) PUMA,https://www.google.com/maps/d/edit?mid=1ZLdv8Z0ExozfiZDnHEydnOTubDkxG9U&ll=sharing,0.042392087,0,0,,
98,401908,Arizona,4,1908,Tucson City (South) PUMA,https://www.google.com/maps/d/edit?mid=1tC2gn6C1h7fgRDQBs7Tbhk8hsABvGfA&ll=sharing,0.038068622,0,0,,
99,401909,Arizona,4,1909,Tucson City (Southeast) PUMA,https://www.google.com/maps/d/edit?mid=1OqLdOzo5CaDQ6I2Hj2Koc8W_jnmzFcY&ll=sharing,0.041838556,0,0,,
100,402502,Arizona,4,2502,Yavapai Urban PUMA,https://www.google.com/maps/d/edit?mid=1I4cO3HWGhlttLKjWHVgy9qz7IfhaSSI&ll=sharing,0.039779001,0,0,,
101,402503,Arizona,4,2503,Yavapai Rural PUMA,https://www.google.com/maps/d/edit?mid=1L8HXMnmoUJCjZRV65vLlfAh9dQ2kh3w&ll=sharing,0.039583663,0,0,,
102,500101,Arkansas,5,101,Benton County (Outer) PUMA,https://www.google.com/maps/d/edit?mid=1r10W8gH1nn2yWwm3mX5FEUUz1J9Ldrc&ll=sharing,0.049583630,0,0,,
103,500102,Arkansas,5,102,Benton County (Central)--Bentonville & Rogers Cities PUMA,https://www.google.com/maps/d/edit?mid=1-mCmuOZ6wxmmNWEy_Fljd07t0VX1PcY&ll=sharing,0.049296311,0,0,,
104,500201,Arkansas,5,201,Washington County (Outer)--Springdale City PUMA,https://www.google.com/maps/d/edit?mid=1IX7u2uUIS4bOIyJh99kBrzTQsKyXx-o&ll=sharing,0.047597461,0,0,,
105,500202,Arkansas,5,202,Washington County (Central)--Fayetteville City PUMA,https://www.google.com/maps/d/edit?mid=18sFvV4XjqcQSL_E75JVz2So0v1CtHvk&ll=sharing,0.047763303,0,0,,
106,500300,Arkansas,5,300,"Baxter, Boone & Carroll Counties PUMA",https://www.google.com/maps/d/edit?mid=1lB1ngObM8s1z7h7kVL547Kgb4sg_0P8&ll=sharing,0.050096517,0,0,,
107,500400,Arkansas,5,400,"Independence, Cleburne & Van Buren Counties PUMA",https://www.google.com/maps/d/edit?mid=1RjM6jrFkYQs_yBCaWJTDz5QCzmsA7_g&ll=sharing,0.050161005,0,0,,
108,500500,Arkansas,5,500,Northeast Arkansas PUMA,https://www.google.com/maps/d/edit?mid=1jOzJF7nl1lwVgtHeNGH96M9NuRr9QYA&ll=sharing,0.051592815,0,0,,
109,500600,Arkansas,5,600,East Arkansas PUMA,https://www.google.com/maps/d/edit?mid=1DADHlrtIBWywV_yPZWo1oREwGFtLKmg&ll=sharing,0.047553226,0,0,,
110,500700,Arkansas,5,700,Craighead & Poinsett Counties PUMA,https://www.google.com/maps/d/edit?mid=1LtigRAFVNI7gEwqUCddDJztve7_A4Ng&ll=sharing,0.049857330,0,0,,
111,500800,Arkansas,5,800,"White, Lonoke & Woodruff Counties PUMA",https://www.google.com/maps/d/edit?mid=1IOh4vmRdwEEa2WWXVsTkgaSxmVJFGGg&ll=sharing,0.049746007,0,0,,
112,500900,Arkansas,5,900,Faulkner & Lonoke Counties PUMA,https://www.google.com/maps/d/edit?mid=14CpBe94LeXVmyiK2IY_w_V2k3cNNfyM&ll=sharing,0.050524845,0,0,,
113,501000,Arkansas,5,1000,"Pope, Johnson & Conway Counties PUMA",https://www.google.com/maps/d/edit?mid=1cNRE6fWzqjblBr4yM6qiJXjpewca9vE&ll=sharing,0.048270974,0,0,,
114,501100,Arkansas,5,1100,"Sebastian, Crawford & Franklin Counties PUMA",https://www.google.com/maps/d/edit?mid=1RL1ncwVC3baKnF70-d8fcuqtUFBHYX0&ll=sharing,0.049415049,0,0,,
115,501200,Arkansas,5,1200,West Arkansas PUMA,https://www.google.com/maps/d/edit?mid=1LdfLDphRcpAnR7A83FAdYReNHsLwq7o&ll=sharing,0.052044890,0,0,,
116,501300,Arkansas,5,1300,West Central Arkansas PUMA,https://www.google.com/maps/d/edit?mid=1wvK0oz7UcRbjX20HWxBQ4jZjREVX8QI&ll=sharing,0.051722050,0,0,,
117,501400,Arkansas,5,1400,"Saline, Grant & Perry Counties PUMA",https://www.google.com/maps/d/edit?mid=1qoqFYtZhA8jOpEkFfoINPNzQSj1yN2M&ll=sharing,0.050658894,0,0,,
118,501501,Arkansas,5,1501,"Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities PUMA",https://www.google.com/maps/d/edit?mid=16OARcBgmADqNWhH493ayCvYtWQ6s5ag&ll=sharing,0.046485077,0,0,,
119,501502,Arkansas,5,1502,Pulaski County (Central)--Little Rock City PUMA,https://www.google.com/maps/d/edit?mid=19iF6rEiBvepDy5Rm2_B0gCVTmEqKJco&ll=sharing,0.047774427,0,0,,
120,501600,Arkansas,5,1600,Southeast Arkansas PUMA,https://www.google.com/maps/d/edit?mid=1eEsnbcXDmuUPnd0RVV7IbCx3OmaXhlM&ll=sharing,0.050093662,0,0,,
121,501700,Arkansas,5,1700,Southwest Arkansas PUMA,https://www.google.com/maps/d/edit?mid=1Qrej8Mwj-JDNLAhi9qxkVhfMLwaZgEo&ll=sharing,0.050898948,0,0,,
122,600101,California,6,101,Alameda County (North)--Berkeley & Albany Cities PUMA,https://www.google.com/maps/d/edit?mid=10O74uaKGnZiuXIFY1uhkMfzfEcY1_gk&ll=sharing,0.060086849,0,0,,
123,600111,California,6,111,Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland) PUMA,https://www.google.com/maps/d/edit?mid=1yF_qQKaqriQn8zy2mk8R_WB-11HKTtw&ll=sharing,0.059926291,0,0,,
124,600112,California,6,112,Alameda County (Northwest)--Oakland City (Oakland Hills) PUMA,https://www.google.com/maps/d/edit?mid=1ndW_zSgcZ3DJWX-jotULxLtNh3GbAeA&ll=sharing,0.060464909,0,0,,
125,600113,California,6,113,Alameda County (West)--Oakland City (Elmhurst/Central/East Oakland) PUMA,https://www.google.com/maps/d/edit?mid=1SD1YMBbhYJpQ7nI7xFKUku6RBokz01E&ll=sharing,0.060582712,0,0,,
126,600114,California,6,114,"Alameda County (West)--San Leandro, Alameda, Emeryville & Piedmont Cities PUMA",https://www.google.com/maps/d/edit?mid=1z2yxbTJnqvivoo22cuVzAT-Ou-8MmLc&ll=sharing,0.060451061,0,0,,
127,600115,California,6,115,Alameda County (Northwest)--Castro Valley & Ashland PUMA,https://www.google.com/maps/d/edit?mid=1Na8mBkCA_myJO6Fhp3xsnL6V3Q6NSuQ&ll=sharing,0.060690882,0,0,,
128,600116,California,6,116,Alameda County (Central)--Hayward City (East) PUMA,https://www.google.com/maps/d/edit?mid=1TM4MUZy6Kq9Yhw1BfxDD13Q1JuZNQ60&ll=sharing,0.061739342,0,0,,
